Judge,URL,Slug,Born,Confirmed,Court,Died,Education,President,Service Terminated
"Breen, J. Daniel",https://www.fjc.gov/history/judges/breen-j-daniel,history/judges/breen-j-daniel,['1950'],"['March 13, 2003']",['U.S. District Court for the Western District of Tennessee'],[],"['Spring Hill College, B.A., 1972University of Tennessee College of Law, J.D., 1975']",['George W. Bush'],[]
"Varlan, Thomas A.",https://www.fjc.gov/history/judges/varlan-thomas,history/judges/varlan-thomas,['1956'],"['March 13, 2003']",['U.S. District Court for the Eastern District of Tennessee'],[],"['University of Tennessee, B.A., 1978Vanderbilt University Law School, J.D., 1981']",['George W. Bush'],[]
"Greer, J. Ronnie",https://www.fjc.gov/history/judges/greer-j-ronnie,history/judges/greer-j-ronnie,['1952'],"['June 11, 2003']",['U.S. District Court for the Eastern District of Tennessee'],[],"['East Tennessee State University, B.S., 1974University of Tennessee College of Law, J.D., 1980']",['George W. Bush'],[]
"Mattice, Harry Sandlin, Jr.",https://www.fjc.gov/history/judges/mattice-harry-sandlin-jr,history/judges/mattice-harry-sandlin-jr,['1954'],"['October 24, 2005']",['U.S. District Court for the Eastern District of Tennessee'],[],"['University of Tennessee, B.S., 1976University of Tennessee College of Law, J.D., 1981']",['George W. Bush'],[]
"Anderson, Stanley Thomas",https://www.fjc.gov/history/judges/anderson-stanley-thomas,history/judges/anderson-stanley-thomas,['1953'],"['April 10, 2008']",['U.S. District Court for the Western District of Tennessee'],[],"['University of Tennessee, B.S., 1976Memphis State University (now University of Memphis), Humphreys School of Law, J.D., 1980']",['George W. Bush'],[]
"Sharp, Kevin Hunter",https://www.fjc.gov/history/judges/sharp-kevin-hunter,history/judges/sharp-kevin-hunter,['1963'],"['May 2, 2011']",['U.S. District Court for the Middle District of Tennessee'],[],"['Christian Brothers College, B.S., 1990Vanderbilt University Law School, J.D., 1993']",['Barack Obama'],['resignation']
"Fowlkes, John Thomas, Jr.",https://www.fjc.gov/history/judges/fowlkes-john-thomas-jr,history/judges/fowlkes-john-thomas-jr,['1951'],"['July 10, 2012']",['U.S. District Court for the Western District of Tennessee'],[],"['Valparaiso University, B.A., 1975University of Denver College of Law, J.D., 1977']",['Barack Obama'],[]
"Reeves, Pamela Lynn",https://www.fjc.gov/history/judges/reeves-pamela-lynn,history/judges/reeves-pamela-lynn,['1954'],"['March 5, 2014']",['U.S. District Court for the Eastern District of Tennessee'],[],"['University of Tennessee, B.A., 1976University of Tennessee College of Law, J.D., 1979']",['Barack Obama'],[]
"Lipman, Sheryl Halle",https://www.fjc.gov/history/judges/lipman-sheryl-halle,history/judges/lipman-sheryl-halle,['1963'],"['April 30, 2014']",['U.S. District Court for the Western District of Tennessee'],[],"['University of Michigan, B.A., 1984New York University School of Law, J.D., 1987']",['Barack Obama'],[]
"McDonough, Travis Randall",https://www.fjc.gov/history/judges/mcdonough-travis-randall,history/judges/mcdonough-travis-randall,['1972'],"['December 7, 2015']",['U.S. District Court for the Eastern District of Tennessee'],[],"['University of the South, B.A., 1994Vanderbilt University Law School, J.D., 1997']",['Barack Obama'],[]
