Judge,URL,Slug,Born,Confirmed,Court,Died,Education,President,Service Terminated
"Tait, Charles",https://www.fjc.gov/history/judges/tait-charles,history/judges/tait-charles,['1768'],"['May 13, 1820']",['U.S. District Court for the District of Alabama'],['1835'],"['Read law, 1795']",['James Monroe'],"['reassignment.Judge, U.S. District Court for the Northern District of AlabamaReassigned on March 10, 1824, to a new seat authorized by 4 Stat. 9. Service terminated on February 1, 1826, due to resignation.Judge, U.S. District Court for the Southern District of AlabamaReassigned on March 10, 1824, to a new seat authorized by 4 Stat. 9. Service terminated on February 1, 1826, due to resignation']"
"Crawford, William",https://www.fjc.gov/history/judges/crawford-william,history/judges/crawford-william,['1784'],"['May 22, 1826', 'May 22, 1826']",['U.S. District Court for the Northern District of Alabama'],['1849'],['Read lawHampden-Sydney College'],"['John Quincy', 'John Quincy']","['death.Judge, U.S. District Court for the Southern District of AlabamaNominated by John Quincy Adams on May 5, 1826, to a seat vacated by Charles Tait. Confirmed by the Senate on May 22, 1826, and received commission on May 22, 1826. Service terminated on February 28, 1849, due to death.Judge, U.S. District Court for the Middle District of AlabamaAssigned on February 6, 1839, to a new seat authorized by 5 Stat. 315. Service terminated on February 28, 1849, due to death']"
"Gayle, John",https://www.fjc.gov/history/judges/gayle-john,history/judges/gayle-john,['1792'],"['March 13, 1849', 'March 13, 1849', 'March 13, 1849']",['U.S. District Court for the Middle District of Alabama'],['1859'],"['South Carolina College (now University of South Carolina), 1813Read law, 1818']","['Zachary Taylor', 'Zachary Taylor', 'Zachary Taylor']","['death.Judge, U.S. District Court for the Northern District of AlabamaNominated by Zachary Taylor on March 12, 1849, to a seat vacated by William Crawford. Confirmed by the Senate on March 13, 1849, and received commission on March 13, 1849. Service terminated on July 21, 1859, due to death.Judge, U.S. District Court for the Southern District of AlabamaNominated by Zachary Taylor on March 12, 1849, to a seat vacated by William Crawford. Confirmed by the Senate on March 13, 1849, and received commission on March 13, 1849. Service terminated on July 21, 1859, due to death']"
"Jones, William Giles",https://www.fjc.gov/history/judges/jones-william-giles,history/judges/jones-william-giles,['1808'],"['January 30, 1860', 'January 30, 1860', 'January 30, 1860']",[],['1883'],"['Hampden-Sydney CollegeUniversity of VirginiaRead law, 1830']",[],"['resignation.Judge, U.S. District Court for the Northern District of AlabamaReceived a recess appointment from James Buchanan on September 29, 1859, to a seat vacated by John Gayle; nominated to the same position by James Buchanan on January 23, 1860. Confirmed by the Senate on January 30, 1860, and received commission on January 30, 1860. Service terminated on January 12, 1861, due to resignation.Judge, U.S. District Court for the Southern District of AlabamaReceived a recess appointment from James Buchanan on September 29, 1859, to a seat vacated by John Gayle; nominated to the same position by James Buchanan on January 23, 1860. Confirmed by the Senate on January 30, 1860, and received commission on January 30, 1860. Service terminated on January 12, 1861, due to resignation']"
"Lane, George Washington",https://www.fjc.gov/history/judges/lane-george-washington,history/judges/lane-george-washington,['1806'],"['March 28, 1861', 'March 28, 1861', 'March 28, 1861']",['U.S. District Court for the Middle District of Alabama'],['1863'],['Read law'],"['Abraham Lincoln', 'Abraham Lincoln', 'Abraham Lincoln']","['death.Judge, U.S. District Court for the Northern District of AlabamaNominated by Abraham Lincoln on March 26, 1861, to a seat vacated by William G. Jones. Confirmed by the Senate on March 28, 1861, and received commission on March 28, 1861. Service terminated on November 12, 1863, due to death.Judge, U.S. District Court for the Southern District of AlabamaNominated by Abraham Lincoln on March 26, 1861, to a seat vacated by William G. Jones. Confirmed by the Senate on March 28, 1861, and received commission on March 28, 1861. Service terminated on November 12, 1863, due to death']"
"Busteed, Richard",https://www.fjc.gov/history/judges/busteed-richard,history/judges/busteed-richard,['1822'],"['January 20, 1864', 'January 20, 1864', 'January 20, 1864']",[],['1898'],"['Read law, 1846']",[],"['resignation.Judge, U.S. District Court for the Northern District of AlabamaReceived a recess appointment from Abraham Lincoln on November 17, 1863, to a seat vacated by George W. Lane; nominated to the same position by Abraham Lincoln on January 5, 1864. Confirmed by the Senate on January 20, 1864, and received commission on January 20, 1864. Service terminated on October 20, 1874, due to resignation.Judge, U.S. District Court for the Southern District of AlabamaReceived a recess appointment from Abraham Lincoln on November 17, 1863, to a seat vacated by George W. Lane; nominated to the same position by Abraham Lincoln on January 5, 1864. Confirmed by the Senate on January 20, 1864, and received commission on January 20, 1864. Service terminated on October 20, 1874, due to resignation']"
"Bruce, John",https://www.fjc.gov/history/judges/bruce-john,history/judges/bruce-john,['1832'],"['February 27, 1875', 'February 27, 1875', 'February 27, 1875']",['U.S. District Court for the Southern District of Alabama'],['1901'],"['Franklin College, New Athens, Ohio, A.B., 1854Read law, 1856']","['Ulysses Grant', 'Ulysses Grant', 'Ulysses Grant']","['reassignment.Judge, U.S. District Court for the Middle District of AlabamaNominated by Ulysses Grant on February 23, 1875, to a seat vacated by Richard Busteed. Confirmed by the Senate on February 27, 1875, and received commission on February 27, 1875. Service terminated on October 1, 1901, due to death.Judge, U.S. District Court for the Northern District of AlabamaNominated by Ulysses Grant on February 23, 1875, to a seat vacated by Richard Busteed. Confirmed by the Senate on February 27, 1875, and received commission on February 27, 1875. Service terminated on October 1, 1901, due to death']"
"Toulmin, Harry Theophilus",https://www.fjc.gov/history/judges/toulmin-harry-theophilus,history/judges/toulmin-harry-theophilus,['1838'],"['January 13, 1887']",['U.S. District Court for the Southern District of Alabama'],['1916'],"['Read law, 1860']",['Grover Cleveland'],['death']
"Jones, Thomas Goode",https://www.fjc.gov/history/judges/jones-thomas-goode,history/judges/jones-thomas-goode,['1844'],"['December 17, 1901', 'December 17, 1901']",[],['1914'],"['Virginia Military InstituteRead law, 1868']",[],"['death.Judge, U.S. District Court for the Northern District of AlabamaReceived a recess appointment from Theodore Roosevelt on October 7, 1901, to a seat vacated by John Bruce; nominated to the same position by Theodore Roosevelt on December 5, 1901. Confirmed by the Senate on December 17, 1901, and received commission on December 17, 1901. Service terminated on April 28, 1914, due to death']"
"Hundley, Oscar Richard",https://www.fjc.gov/history/judges/hundley-oscar-richard,history/judges/hundley-oscar-richard,['1855'],[],[],['1921'],"['Vanderbilt University Law School, LL.B., 1877']",[],['resignation']
"Grubb, William Irwin",https://www.fjc.gov/history/judges/grubb-william-irwin,history/judges/grubb-william-irwin,['1862'],"['May 18, 1909']",['U.S. District Court for the Northern District of Alabama'],[],"['Yale College, A.B., 1883']",['William H. Taft'],['death']
"Clayton, Henry De Lamar",https://www.fjc.gov/history/judges/clayton-henry-de-lamar,history/judges/clayton-henry-de-lamar,['1857'],"['May 2, 1914', 'May 2, 1914']",['U.S. District Court for the Middle District of Alabama'],[],"['University of Alabama, A.B., 1877University of Alabama School of Law, LL.B., 1878']","['Woodrow Wilson', 'Woodrow Wilson']","['death.Judge, U.S. District Court for the Northern District of AlabamaNominated by Woodrow Wilson on May 2, 1914, to a seat vacated by Thomas Goode Jones. Confirmed by the Senate on May 2, 1914, and received commission on May 2, 1914. Service terminated on December 21, 1929, due to death']"
"Ervin, Robert Tait",https://www.fjc.gov/history/judges/ervin-robert-tait,history/judges/ervin-robert-tait,['1863'],"['January 23, 1917']",['U.S. District Court for the Southern District of Alabama'],[],"['University of Alabama School of Law, LL.B., 1887']",['Woodrow Wilson'],"['death.Other Federal Judicial Service:Referee in Bankruptcy, Southern District of Alabama, 1898-191']"
"Kennamer, Charles Brents",https://www.fjc.gov/history/judges/kennamer-charles-brents,history/judges/kennamer-charles-brents,['1874'],"['February 20, 1931', 'February 20, 1931']",['U.S. District Court for the Northern District of Alabama'],[],"['Georgetown College (now Georgetown University)Read law, 1903']","['Herbert Hoover', 'Herbert Hoover']","['reassignment.Judge, U.S. District Court for the Middle District of AlabamaNominated by Herbert Hoover on January 24, 1931, to a seat vacated by Henry D. Clayton. Confirmed by the Senate on February 20, 1931, and received commission on February 25, 1931. Service terminated on June 3, 1955, due to death']"
"McDuffie, John",https://www.fjc.gov/history/judges/mcduffie-john,history/judges/mcduffie-john,['1883'],"['February 7, 1935']",['U.S. District Court for the Southern District of Alabama'],['1950'],"['Alabama Polytechnic Institute (now Auburn University), B.Sc., 1904University of Alabama School of Law, LL.B., 1908']",['Franklin D. Roosevelt'],['death']
"Davis, David Jackson",https://www.fjc.gov/history/judges/davis-david-jackson,history/judges/davis-david-jackson,['1878'],"['January 22, 1936']",[],[],"['Yale Law School, LL.B., 1906']",[],['death']
"Murphree, Thomas Alexander",https://www.fjc.gov/history/judges/murphree-thomas-alexander,history/judges/murphree-thomas-alexander,['1883'],"['May 17, 1938']",['U.S. District Court for the Northern District of Alabama'],[],"['University of Alabama, B.S., 1910University of Alabama School of Law, LL.B., 1911']",['Franklin D. Roosevelt'],['death']
"Mullins, Clarence H.",https://www.fjc.gov/history/judges/mullins-clarence-h,history/judges/mullins-clarence-h,['1895'],"['April 7, 1943']",['U.S. District Court for the Northern District of Alabama'],['1957'],"['University of Alabama School of Law, LL.B., 1914']",['Franklin D. Roosevelt'],"['certified disability on May 31, 1953. Service terminated on June 30, 1957, due to death']"
"Lynne, Seybourn Harris",https://www.fjc.gov/history/judges/lynne-seybourn-harris,history/judges/lynne-seybourn-harris,['1907'],"['December 20, 1945']",['U.S. District Court for the Northern District of Alabama'],['2000'],"['Alabama Polytechnic Institute (now Auburn University), B.S., 1927University of Alabama School of Law, LL.B., 1930']",['Harry S Truman'],['death']
"Thomas, Daniel Holcombe",https://www.fjc.gov/history/judges/thomas-daniel-holcombe,history/judges/thomas-daniel-holcombe,['1906'],"['March 6, 1951']",['U.S. District Court for the Southern District of Alabama'],['2000'],"['University of Alabama School of Law, LL.B., 1928']",['Harry S Truman'],['death']
"Grooms, Harlan Hobart",https://www.fjc.gov/history/judges/grooms-harlan-hobart,history/judges/grooms-harlan-hobart,['1900'],"['July 31, 1953']",['U.S. District Court for the Northern District of Alabama'],[],"['University of Kentucky College of Law, LL.B., 1926']",['Dwight D. Eisenhower'],['death']
"Johnson, Frank Minis, Jr.",https://www.fjc.gov/history/judges/johnson-frank-minis-jr,history/judges/johnson-frank-minis-jr,['1918'],"['January 31, 1956', 'June 19, 1979']","['U.S. District Court for the Middle District of AlabamaReceived a recess appointment from Dwight D. Eisenhower on October 22, 1955, to a seat vacated by Charles B. Kennamer; nominated to the same position by Dwight D. Eisenhower on January 12, 1956. Confirmed by the Senate on January 31, 1956, and received commission on February 1, 1956. Served as chief judge, 1966-1979. Service terminated on July 12, 1979, due to appointment to another judicial position.Judge, U.S. Court of Appeals for the Fifth Circuit']",['1999'],"['University of Alabama School of Law, LL.B., 1943']",['Jimmy Carter'],"['appointment to another judicial position.Judge, U.S. Court of Appeals for the Fifth CircuitNominated by Jimmy Carter on April 2, 1979, to a new seat authorized by 92 Stat. 1629. Confirmed by the Senate on June 19, 1979, and received commission on June 21, 1979. Service terminated on October 1, 1981, due to reassignment.Judge, U.S. Court of Appeals for the Eleventh CircuitReassigned on October 1, 1981, to a new seat authorized by 94 Stat. 1994. Assumed senior status on October 30, 1991. Service terminated on July 23, 1999, due to death.Other Federal Judicial Service:Judge, Temporary Emergency Court of Appeals, 1972-198']"
"Allgood, Clarence W.",https://www.fjc.gov/history/judges/allgood-clarence-w,history/judges/allgood-clarence-w,['1902'],"['February 5, 1962']","['U.S. District Court for the Northern District of AlabamaReceived a recess appointment from John F. Kennedy on October 5, 1961, to a new seat authorized by 75 Stat. 80; nominated to the same position by John F. Kennedy on January 15, 1962. Confirmed by the Senate on February 5, 1962, and received commission on February 9, 1962. Assumed senior status on January 9, 1973. Service terminated on November 30, 1991, due to death.Other Federal Judicial Service:Referee in Bankruptcy, Northern District of Alabama, 1937-1961Education: Alabama Polytechnic Institute (now Auburn University), B.S., 1926Birmingham School of Law, LL.B., 1941Other Nominations/Recess Appointments:']",['1991'],[],[],"['death.Other Federal Judicial Service:Referee in Bankruptcy, Northern District of Alabama, 1937-196']"
"Pittman, Thomas Virgil",https://www.fjc.gov/history/judges/pittman-thomas-virgil,history/judges/pittman-thomas-virgil,['1916'],"['June 29, 1966', 'June 29, 1966']",['U.S. District Court for the Middle District of Alabama'],['2012'],"['University of Alabama, B.S., 1939University of Alabama School of Law, LL.B., 1940']","['Lyndon B. Johnson', 'Lyndon B. Johnson']","['reassignment.Judge, U.S. District Court for the Southern District of AlabamaNominated by Lyndon B. Johnson on June 13, 1966, to a new seat authorized by 80 Stat. 75. Confirmed by the Senate on June 29, 1966, and received commission on June 29, 1966. Served as chief judge, 1971-1981. Assumed senior status on July 15, 1981. Service terminated on January 6, 2012, due to death']"
"McFadden, Frank Hampton",https://www.fjc.gov/history/judges/mcfadden-frank-hampton,history/judges/mcfadden-frank-hampton,['1925'],"['August 8, 1969']",['U.S. District Court for the Northern District of Alabama'],[],"['University of Mississippi, B.A., 1950Yale Law School, LL.B., 1955']",['Richard M. Nixon'],['resignation']
"Pointer, Sam Clyde, Jr.",https://www.fjc.gov/history/judges/pointer-sam-clyde-jr,history/judges/pointer-sam-clyde-jr,['1934'],"['October 8, 1970']",['U.S. District Court for the Northern District of Alabama'],[],"['Vanderbilt University, A.B., 1955University of Alabama School of Law, J.D., 1957New York University School of Law, LL.M., 1958']",['Richard M. Nixon'],"['retirement.Other Federal Judicial Service:Judge, Temporary Emergency Court of Appeals, 1980-198']"
"Varner, Robert Edward",https://www.fjc.gov/history/judges/varner-robert-edward,history/judges/varner-robert-edward,['1921'],"['April 21, 1971']",['U.S. District Court for the Middle District of Alabama'],[],"['Auburn University, B.S., 1942University of Alabama School of Law, J.D., 1949']",['Richard M. Nixon'],['death']
"Hand, William Brevard",https://www.fjc.gov/history/judges/hand-william-brevard,history/judges/hand-william-brevard,['1924'],"['September 21, 1971']",['U.S. District Court for the Southern District of Alabama'],['2008'],"['University of Alabama, B.S., 1947University of Alabama School of Law, LL.B., 1949']",['Richard M. Nixon'],['death']
"Hancock, James Hughes",https://www.fjc.gov/history/judges/hancock-james-hughes,history/judges/hancock-james-hughes,['1931'],"['April 10, 1973']",['U.S. District Court for the Northern District of Alabama'],[],"['University of Alabama, B.S., 1953University of Alabama School of Law, LL.B., 1957']",['Richard M. Nixon'],[]
"Guin, Junius Foy, Jr.",https://www.fjc.gov/history/judges/guin-junius-foy-jr,history/judges/guin-junius-foy-jr,['1924'],"['April 10, 1973']",['U.S. District Court for the Northern District of Alabama'],[],"['University of Alabama School of Law, J.D., 1947University of Alabama, A.B., 1975']",['Richard M. Nixon'],['death']
"Hobbs, Truman McGill",https://www.fjc.gov/history/judges/hobbs-truman-mcgill,history/judges/hobbs-truman-mcgill,['1921'],"['April 3, 1980']",['U.S. District Court for the Middle District of Alabama'],['2015'],"['University of North Carolina, A.B., 1942Yale Law School, LL.B., 1948']",['Jimmy Carter'],['death']
"Haltom, Elbert Bertram, Jr.",https://www.fjc.gov/history/judges/haltom-elbert-bertram-jr,history/judges/haltom-elbert-bertram-jr,['1922'],"['May 29, 1980']",['U.S. District Court for the Northern District of Alabama'],['2003'],"['University of Alabama School of Law, LL.B., 1948']",['Jimmy Carter'],['death']
"Propst, Robert Bruce",https://www.fjc.gov/history/judges/propst-robert-bruce,history/judges/propst-robert-bruce,['1931'],"['May 29, 1980']",['U.S. District Court for the Northern District of Alabama'],['2019'],"['University of Alabama, B.S., 1953University of Alabama School of Law, J.D., 1957']",['Jimmy Carter'],['death']
"Clemon, U. W.",https://www.fjc.gov/history/judges/clemon-u-w,history/judges/clemon-u-w,['1943'],"['June 26, 1980']",['U.S. District Court for the Northern District of Alabama'],[],"['Miles College, B.A., 1965Columbia Law School, J.D., 1968']",['Jimmy Carter'],['retirement']
"Thompson, Myron Herbert",https://www.fjc.gov/history/judges/thompson-myron-herbert,history/judges/thompson-myron-herbert,['1947'],"['September 26, 1980']",['U.S. District Court for the Middle District of Alabama'],[],"['Yale University, B.A., 1969Yale Law School, J.D., 1972']",['Jimmy Carter'],[]
"Cox, Emmett Ripley",https://www.fjc.gov/history/judges/cox-emmett-ripley,history/judges/cox-emmett-ripley,['1935'],"['November 18, 1981', 'April 15, 1988']",['U.S. District Court for the Southern District of Alabama'],[],"['University of Alabama, A.B., 1957University of Alabama School of Law, LL.B., 1959']","['Ronald Reagan', 'Ronald Reagan']","['appointment to another judicial position.Judge, U.S. Court of Appeals for the Eleventh CircuitNominated by Ronald Reagan on December 19, 1987, to a seat vacated by John Cooper Godbold. Confirmed by the Senate on April 15, 1988, and received commission on April 18, 1988. Assumed senior status on December 18, 2000.']"
"Acker, William Marsh, Jr.",https://www.fjc.gov/history/judges/acker-william-marsh-jr,history/judges/acker-william-marsh-jr,['1927'],"['August 18, 1982']",['U.S. District Court for the Northern District of Alabama'],[],"['Birmingham-Southern College, B.A., 1949Yale Law School, LL.B., 1952']",['Ronald Reagan'],['death']
"Dubina, Joel Fredrick",https://www.fjc.gov/history/judges/dubina-joel-fredrick,history/judges/dubina-joel-fredrick,['1947'],"['September 12, 1986', 'September 28, 1990']",['U.S. District Court for the Middle District of Alabama'],[],"['University of Alabama, B.S., 1970Samford University, Cumberland School of Law, J.D., 1973']","['Ronald Reagan', 'George H.W. Bush']","['appointment to another judicial position.Judge, U.S. Court of Appeals for the Eleventh CircuitNominated by George H.W. Bush on June 7, 1990, to a seat vacated by Robert Smith Vance. Confirmed by the Senate on September 28, 1990, and received commission on October 1, 1990. Served as chief judge, 2009-2013. Assumed senior status on October 26, 2013. Other Federal Judicial Service:U.S. Magistrate, U.S. District Court for the Middle District of Alabama, 1983-198']"
"Howard, Alex T., Jr.",https://www.fjc.gov/history/judges/howard-alex-t-jr,history/judges/howard-alex-t-jr,['1924'],"['October 8, 1986']",['U.S. District Court for the Southern District of Alabama'],['2011'],"['Vanderbilt University Law School, LL.B., 1950']",['Ronald Reagan'],"['death.Other Federal Judicial Service:U.S. Commissioner, U.S. District Court for the Southern District of Alabama, 1956-197']"
"Butler, Charles Randolph, Jr.",https://www.fjc.gov/history/judges/butler-charles-randolph-jr,history/judges/butler-charles-randolph-jr,['1940'],"['October 14, 1988']",['U.S. District Court for the Southern District of Alabama'],[],"['Washington and Lee University School of LawWashington and Lee University, B.A., 1962University of Alabama School of Law, LL.B., 1966']",['Ronald Reagan'],[]
"Nelson, Edwin L.",https://www.fjc.gov/history/judges/nelson-edwin-l,history/judges/nelson-edwin-l,['1940'],"['January 23, 1990']",['U.S. District Court for the Northern District of Alabama'],[],"['Samford University, Cumberland School of Law, LL.B., 1969']",['George H.W. Bush'],"['death.Other Federal Judicial Service:U.S. Magistrate, U.S. District Court for the Northern District of Alabama, 1974-199']"
"Vollmer, Richard W., Jr.",https://www.fjc.gov/history/judges/vollmer-richard-w-jr,history/judges/vollmer-richard-w-jr,['1926'],"['May 11, 1990']",['U.S. District Court for the Southern District of Alabama'],['2003'],"['University of Alabama School of Law, LL.B., 1953']",['George H.W. Bush'],['death']
"Albritton, William Harold III",https://www.fjc.gov/history/judges/albritton-william-harold-iii,history/judges/albritton-william-harold-iii,['1936'],"['May 9, 1991']",['U.S. District Court for the Middle District of Alabama'],[],"['University of Alabama, B.A., 1959University of Alabama School of Law, LL.B., 1960']",['George H.W. Bush'],[]
"Blackburn, Sharon Lovelace",https://www.fjc.gov/history/judges/blackburn-sharon-lovelace,history/judges/blackburn-sharon-lovelace,['1950'],"['May 24, 1991']",['U.S. District Court for the Northern District of Alabama'],[],"['University of Alabama, B.A., 1973Samford University, Cumberland School of Law, J.D., 1977']",['George H.W. Bush'],[]
"DeMent, Ira",https://www.fjc.gov/history/judges/dement-ira,history/judges/dement-ira,['1931'],"['March 13, 1992']",['U.S. District Court for the Middle District of Alabama'],['2011'],"['University of Alabama, B.S., 1953University of Alabama School of Law, J.D., 1958']",['George H.W. Bush'],['death']
"Smith, Charles Lynwood, Jr.",https://www.fjc.gov/history/judges/smith-charles-lynwood-jr,history/judges/smith-charles-lynwood-jr,['1943'],"['December 22, 1995']",['U.S. District Court for the Northern District of Alabama'],[],"['University of Alabama, B.A., 1966Rutgers University, M.A., 1967University of Alabama School of Law, J.D., 1971']",['William J. Clinton'],[]
"Buttram, H. Dean, Jr.",https://www.fjc.gov/history/judges/buttram-h-dean-jr,history/judges/buttram-h-dean-jr,['1950'],"['October 8, 1998']",['U.S. District Court for the Northern District of Alabama'],[],"['Jacksonville State University, B.A., 1972Jacksonville State University, M.B.A., M.P.A., 1975Samford University, Cumberland School of Law, J.D., 1978']",['William J. Clinton'],['resignation']
"Johnson, Inge Prytz",https://www.fjc.gov/history/judges/johnson-inge-prytz,history/judges/johnson-inge-prytz,['1945'],"['October 8, 1998']",['U.S. District Court for the Northern District of Alabama'],[],"['City of London College, Certificate in English Law, 1968University of Copenhagen Faculty of Law, Certificate in Jurisprudence, 1969University of Alabama School of Law, M.C.Law, 1970University of Alabama School of Law, J.D., 1973']",['William J. Clinton'],[]
"Bowdre, Karon O.",https://www.fjc.gov/history/judges/bowdre-karon-o,history/judges/bowdre-karon-o,['1955'],"['November 6, 2001']",['U.S. District Court for the Northern District of Alabama'],[],"['Samford University, B.A., 1977Samford University, Cumberland School of Law, J.D., 1981']",['George W. Bush'],[]
"Granade, Callie V.",https://www.fjc.gov/history/judges/granade-callie-v,history/judges/granade-callie-v,['1950'],"['February 4, 2002']",['U.S. District Court for the Southern District of Alabama'],[],"['Hollins College, B.A., 1972University of Texas School of Law, J.D., 1975']",['George W. Bush'],[]
"Fuller, Mark E.",https://www.fjc.gov/history/judges/fuller-mark-e,history/judges/fuller-mark-e,['1958'],"['November 14, 2002']",['U.S. District Court for the Middle District of Alabama'],[],"['University of Alabama, B.S., 1982University of Alabama School of Law, J.D., 1985']",['George W. Bush'],['resignation']
"Steele, William H.",https://www.fjc.gov/history/judges/steele-william-h,history/judges/steele-william-h,['1951'],"['March 13, 2003']",['U.S. District Court for the Southern District of Alabama'],[],"['University of Southern Mississippi, B.A., 1972University of Alabama School of Law, J.D., 1980']",['George W. Bush'],[]
"Coogler, L. Scott",https://www.fjc.gov/history/judges/coogler-l-scott,history/judges/coogler-l-scott,['1959'],"['May 22, 2003']",['U.S. District Court for the Northern District of Alabama'],[],"['University of Alabama, B.A., 1981University of Alabama School of Law, J.D., 1984']",['George W. Bush'],[]
"Proctor, R. David",https://www.fjc.gov/history/judges/proctor-r-david,history/judges/proctor-r-david,['1960'],"['September 17, 2003']",['U.S. District Court for the Northern District of Alabama'],[],"['Carson-Newman College, B.A., 1983University of Tennessee College of Law, J.D., 1986']",['George W. Bush'],[]
"Hopkins, Virginia Emerson",https://www.fjc.gov/history/judges/hopkins-virginia-emerson,history/judges/hopkins-virginia-emerson,['1952'],"['June 15, 2004']",['U.S. District Court for the Northern District of Alabama'],[],"['University of Alabama, B.A., 1974University of Virginia School of Law, J.D., 1977']",['George W. Bush'],[]
"DuBose, Kristi",https://www.fjc.gov/history/judges/dubose-kristi,history/judges/dubose-kristi,['1964'],"['December 21, 2005']",['U.S. District Court for the Southern District of Alabama'],[],"['Huntingdon College, B.A., 1986Emory University School of Law, J.D., 1989']",['George W. Bush'],[]
"Watkins, William Keith",https://www.fjc.gov/history/judges/watkins-william-keith,history/judges/watkins-william-keith,['1951'],"['December 21, 2005']",['U.S. District Court for the Middle District of Alabama'],[],"['Auburn University, B.S., 1973University of Alabama School of Law, J.D., 1976']",['George W. Bush'],[]
"Kallon, Abdul K.",https://www.fjc.gov/history/judges/kallon-abdul-k,history/judges/kallon-abdul-k,['1969'],"['November 21, 2009']",['U.S. District Court for the Northern District of Alabama'],[],"['Dartmouth College, A.B., 1990University of Pennsylvania Law School, J.D., 1993']",['Barack Obama'],[]
"Haikala, Madeline Hughes",https://www.fjc.gov/history/judges/haikala-madeline-hughes,history/judges/haikala-madeline-hughes,['1964'],"['October 14, 2013']",['U.S. District Court for the Northern District of Alabama'],[],"['Williams College, B.A., 1986Tulane University Law School, J.D., 1989']",['Barack Obama'],[]
"Axon, Annemarie Carney",https://www.fjc.gov/history/judges/axon-annemarie-carney,history/judges/axon-annemarie-carney,['1973'],"['June 6, 2018']",['U.S. District Court for the Northern District of Alabama'],[],"['University of Alabama, B.A., 1995University of Alabama School of Law, J.D., 1999']",['Donald J. Trump'],[]
"Beaverstock, Jeffrey Uhlman",https://www.fjc.gov/history/judges/beaverstock-jeffrey-uhlman,history/judges/beaverstock-jeffrey-uhlman,['1968'],"['August 1, 2018']",['U.S. District Court for the Southern District of Alabama'],[],"['The Citadel, B.A., 1991University of Alabama School of Law, J.D., 1998']",['Donald J. Trump'],[]
"Marks, Emily Coody",https://www.fjc.gov/history/judges/marks-emily-coody,history/judges/marks-emily-coody,['1973'],"['August 1, 2018']",['U.S. District Court for the Middle District of Alabama'],[],"['Spring Hill College, B.A., 1995University of Alabama School of Law, J.D., 1998']",['Donald J. Trump'],[]
"Moorer, Terry Fitzgerald",https://www.fjc.gov/history/judges/moorer-terry-fitzgerald,history/judges/moorer-terry-fitzgerald,['1961'],"['August 28, 2018']",['U.S. District Court for the Southern District of Alabama'],[],"['Huntingdon College, B.A., 1983University of Alabama School of Law, J.D., 1986Marion Military Institute, A.A., 1981']",['Donald J. Trump'],[]
"Burke, Liles Clifton",https://www.fjc.gov/history/judges/burke-liles-clifton,history/judges/burke-liles-clifton,['1969'],"['October 11, 2018']",['U.S. District Court for the Northern District of Alabama'],[],"['University of Alabama, B.A., 1991University of Alabama School of Law, J.D., 1994']",['Donald J. Trump'],[]
"Brasher, Andrew Lynn",https://www.fjc.gov/history/judges/brasher-andrew-lynn,history/judges/brasher-andrew-lynn,['1981'],"['May 1, 2019']",['U.S. District Court for the Middle District of Alabama'],[],"['Samford University, B.A., 2002Harvard Law School, J.D., 2006']",['Donald J. Trump'],[]
"Maze, Corey Landon",https://www.fjc.gov/history/judges/maze-corey-landon,history/judges/maze-corey-landon,['1978'],"['June 12, 2019']",['U.S. District Court for the Northern District of Alabama'],[],"['Auburn University, B.A., 1999Georgetown University Law Center, J.D., 2003']",['Donald J. Trump'],[]
,,,[],[],[],[],[],[],[]
District of Alabama,https://www.fjc.gov/history/courts/u.s.-district-court-district-alabama-judges,history/courts/u.s.-district-court-district-alabama-judges,[],[],[],[],[],[],[]
Northern District,https://www.fjc.gov/history/courts/u.s.-district-court-northern-district-alabama-judges,history/courts/u.s.-district-court-northern-district-alabama-judges,[],[],[],[],[],[],[]
Southern District,https://www.fjc.gov/history/courts/u.s.-district-court-southern-district-alabama-judges,history/courts/u.s.-district-court-southern-district-alabama-judges,[],[],[],[],[],[],[]
Middle District,https://www.fjc.gov/history/courts/u.s.-district-court-middle-district-alabama-judges,history/courts/u.s.-district-court-middle-district-alabama-judges,[],[],[],[],[],[],[]
Chief Judges,https://www.fjc.gov/history/courts/u.s.-district-courts-districts-alabama-chief-judges,history/courts/u.s.-district-courts-districts-alabama-chief-judges,[],[],[],[],[],[],[]
Alabama Home Page,https://www.fjc.gov/history/courts/u.s.-district-courts-districts-alabama,history/courts/u.s.-district-courts-districts-alabama,,,,,,,
Legislative History,https://www.fjc.gov/history/courts/us-district-courts-districts-alabama-legislative-history,history/courts/us-district-courts-districts-alabama-legislative-history,[],[],[],[],[],[],[]
Succession Charts,https://www.fjc.gov/history/courts/us-district-courts-districts-alabama-succession-charts,history/courts/us-district-courts-districts-alabama-succession-charts,[],[],[],[],[],[],[]
Judicial District Organization,https://www.fjc.gov/history/courts/u.s.-district-courts-districts-alabama-judicial-district-organization-1824-present,history/courts/u.s.-district-courts-districts-alabama-judicial-district-organization-1824-present,[],[],[],[],[],[],[]
Meeting Places,https://www.fjc.gov/history/courts/u.s.-district-courts-districts-alabama-meeting-places,history/courts/u.s.-district-courts-districts-alabama-meeting-places,[],[],[],[],[],[],[]
Records and Bibliography,https://www.fjc.gov/history/courts/u.s.-district-courts-districts-alabama-records-and-bibliography,history/courts/u.s.-district-courts-districts-alabama-records-and-bibliography,[],[],[],[],[],[],[]
